2024/08/28 09:00:47 
===============================
______             _           
|  _  \           | |          
| | | |  ___  ___ | | __ _   _ 
| | | | / _ \/ __|| |/ /| | | |
| |/ / |  __/\__ \|   < | |_| |
|___/   \___||___/|_|\_\ \__, |
                          __/ |
                         |___/
===============================   
 - Desky succsessfully started on: 0.0.0.0:443
 - Proxmox module is up: true
===============================                   
2024/08/28 09:00:48 | 10.192.10.100:60864 > /dashboard/proxmox.
2024/08/28 09:00:48 | 10.192.10.100:60864 > /login.
2024/08/28 09:00:48 | 10.192.10.100:60864 > Log In failed. Attempt username: 
2024/08/28 09:00:48 | 10.192.10.100:60864 > /static/css/styles.css.
2024/08/28 09:00:54 | 10.192.10.100:60864 > /login.
2024/08/28 09:00:54 Log In to panel from: 10.192.10.100:60864.
2024/08/28 09:00:54 | 10.192.10.100:60864 > /dashboard/panel.
2024/08/28 09:00:54 | 10.192.10.100:60864 > /api/system.
2024/08/28 09:00:55 | 10.192.10.100:60864 > /dashboard/proxmox.
2024/08/28 09:00:55 | 10.192.10.100:60864 > /static/css/proxmox.css.
2024/08/28 09:00:55 | 10.192.10.100:60864 > /static/images/web-icons/lxc.svg.
2024/08/28 09:00:55 | 10.192.10.100:60864 > /static/images/web-icons/vm.svg.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /dashboard/proxmox.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/css/font-awesome.min.css.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/css/proxmox.css.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/css/index.css.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/images/web-icons/shell.svg.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/images/web-icons/docker.svg.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/images/web-icons/lxc.svg.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/images/web-icons/vm.svg.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/images/image.jpg.
2024/08/28 09:01:06 | 10.192.10.100:36144 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/css/font-awesome.min.css.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/css/proxmox.css.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/css/index.css.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/images/web-icons/shell.svg.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/images/web-icons/lxc.svg.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/images/web-icons/vm.svg.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/images/web-icons/docker.svg.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/images/image.jpg.
2024/08/28 09:01:07 | 10.192.10.100:58900 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:01:57 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:01:57 | 10.192.10.100:58900 > /static/css/proxmox.css.
2024/08/28 09:01:58 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:02:15 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:02:15 | 10.192.10.100:58900 > /static/images/web-icons/airsonic.svg.
2024/08/28 09:02:16 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:02:37 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:02:37 | 10.192.10.100:58900 > /static/css/proxmox.css.
2024/08/28 09:02:37 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:02:38 | 10.192.10.100:58900 > /dashboard/proxmox.
2024/08/28 09:03:07 Shutting down the server...
