2024/08/28 09:03:50 
===============================
______             _           
|  _  \           | |          
| | | |  ___  ___ | | __ _   _ 
| | | | / _ \/ __|| |/ /| | | |
| |/ / |  __/\__ \|   < | |_| |
|___/   \___||___/|_|\_\ \__, |
                          __/ |
                         |___/
===============================   
 - Desky succsessfully started on: 0.0.0.0:443
 - Proxmox module is up: true
===============================                   
2024/08/28 09:03:52 | 10.192.10.100:49286 > /dashboard/proxmox.
2024/08/28 09:03:52 | 10.192.10.100:49286 > /login.
2024/08/28 09:03:52 | 10.192.10.100:49286 > Log In failed. Attempt username: 
2024/08/28 09:03:52 | 10.192.10.100:49286 > /static/css/styles.css.
2024/08/28 09:03:57 | 10.192.10.100:49286 > /login.
2024/08/28 09:03:57 Log In to panel from: 10.192.10.100:49286.
2024/08/28 09:03:57 | 10.192.10.100:49286 > /dashboard/panel.
2024/08/28 09:03:57 | 10.192.10.100:49286 > /api/system.
2024/08/28 09:03:58 | 10.192.10.100:49286 > /dashboard/proxmox.
2024/08/28 09:03:58 | 10.192.10.100:49286 > /static/css/proxmox.css.
2024/08/28 09:03:58 | 10.192.10.100:49286 > /static/images/web-icons/co.
2024/08/28 09:04:00 | 10.192.10.100:49286 > /dashboard/proxmox.
2024/08/28 09:04:00 | 10.192.10.100:49286 > /static/images/web-icons/co.
2024/08/28 09:04:25 | 10.192.10.100:49286 > /dashboard/proxmox.
2024/08/28 09:04:26 | 10.192.10.100:49286 > /dashboard/proxmox.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/css/font-awesome.min.css.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/css/proxmox.css.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/css/index.css.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/images/web-icons/shell.svg.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/images/web-icons/docker.svg.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/images/web-icons/lxc.svg.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/images/web-icons/vm.svg.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/images/image.jpg.
2024/08/28 09:04:27 | 10.192.10.100:58494 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:04:52 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:04:59 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:04:59 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:04:59 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:04:59 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:05:00 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:05:00 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:05:00 | 10.192.10.100:58494 > /dashboard/proxmox.
2024/08/28 09:05:06 | 10.192.10.100:44210 > /dashboard/proxmox.
